zip,county,fair_penetration,residential_tiv,median_hh_income,income_decile,fair_risk_score,pif,avg_annual_premium,nonrenew_rate,pif_per_owner_unit,exposure_millions
92504,06065,0.010353327855382087,648724167.0,95112.58438115094,6,1.7306547619047619,628,2190.0,0.1039,0.0596,648.724167
92505,06065,0.009892186284316994,335753245.0,87693.84893260011,5,1.1370143149284253,450,1091.0,0.1077,0.0615,335.753245
92506,06065,0.007346647646219686,919839926.0,120459.23550469357,8,1.105521472392638,726,1849.0,0.0935,0.0687,919.839926
92507,06065,0.015738117721120555,633372001.0,78022.92946222944,4,1.5833333333333333,832,1477.0,0.1005,0.1235,633.372001
92508,06065,0.006026041106208974,650031284.0,139602.9843961878,9,1.0899854862119014,604,1313.0,0.0981,0.0746,650.031284
92509,06065,0.01817849081925212,777846180.0,93054.29765843763,6,1.2784911717495988,1103,652.0,0.1091,0.0788,777.84618
92518,06065,,681320.0,52432.0,1,1.0,1,394.0,,0.0091,0.68132
92530,06065,0.06402654242552591,1914868519.0,87365.32417407328,5,2.0053995680345573,2514,1806.0,0.1283,0.2142,1914.868519
92532,06065,0.05621477306437259,1277595999.0,120523.71591335606,8,2.001283697047497,1285,1589.0,0.1324,0.2394,1277.595999
92536,06065,0.3006416131989001,326720771.0,62440.85413762392,2,3.0,577,3900.0,0.121,0.5594,326.720771
92539,06065,0.4399260628465804,334366864.0,64133.03647701185,2,2.844504021447721,763,2879.0,0.1404,0.7262,334.366864
92543,06065,0.014211005002273762,383660449.0,51162.59818753064,1,1.3678025851938895,765,870.0,0.1187,0.1005,383.660449
92544,06065,0.047634296693619405,1279032967.0,69423.22196055626,3,2.0939017808958447,1750,2017.0,0.1147,0.1626,1279.032967
92545,06065,0.015764806135492117,863079238.0,63970.48935589879,2,1.5732189973614776,1295,871.0,0.1145,0.1061,863.079238
92548,06065,0.09256004686584651,248486975.0,62848.35966988383,2,2.3675373134328357,487,981.0,0.1591,0.2387,248.486975
92549,06065,0.6705311404691291,2019121944.0,84754.60573044601,5,3.0,2756,3106.0,0.1346,2.6512,2019.121944
92551,06065,0.010493477027793534,340927944.0,92714.49087109197,6,1.1862955032119915,416,625.0,0.1128,0.0714,340.927944
92553,06065,0.01136279242480505,412848737.0,74166.39063398399,4,1.0,599,959.0,0.1173,0.0631,412.848737
92555,06065,0.022391570232383102,1399359153.0,111308.61174907447,7,1.9514145141451416,1397,1329.0,0.1216,0.1642,1399.359153
92557,06065,0.02244039270687237,1109894104.0,95302.67583532305,6,1.8154050464807436,1288,1602.0,0.1143,0.1303,1109.894104
92561,06065,0.33587786259541985,410019243.0,80229.46932851599,4,2.9560185185185186,420,3715.0,0.1329,0.6415,410.019243
92562,06065,0.06487444608567208,3640175062.0,112801.2093350594,8,2.220918538384177,2676,3560.0,0.1183,0.1862,3640.175062
92563,06065,0.009797886529188468,1524325771.0,119017.90446448696,8,1.856168277430358,1475,1299.0,0.0991,0.0895,1524.325771
92567,06065,0.07069408740359898,335438338.0,79355.59399886554,4,2.532062391681109,519,1635.0,0.1386,0.2668,335.438338
92570,06065,0.10653872786625779,1755284197.0,84831.33219094103,5,2.6814247669773636,2735,1814.0,0.1634,0.2873,1755.284197
92571,06065,0.01705739013528275,714781004.0,90975.80227726765,6,1.5413826679649465,905,610.0,0.1162,0.0895,714.781004
92582,06065,0.014246575342465753,284753462.0,83210.12358934303,5,1.45822102425876,322,1168.0,0.1076,0.0747,284.753462
92583,06065,0.015300117693213025,361700037.0,66976.21990980371,3,1.58678955453149,604,1014.0,0.1191,0.1045,361.700037
92584,06065,0.013797176142159232,1212629936.0,118441.49837157835,8,1.5591327201051248,1325,1078.0,0.104,0.0917,1212.629936
92585,06065,0.0088008800880088,524462415.0,93468.10815270827,6,1.5837912087912087,616,982.0,0.095,0.1017,524.462415
92586,06065,0.0040798797509126045,354748046.0,59791.01996233899,2,1.1346153846153846,562,591.0,0.1178,0.0753,354.748046
92587,06065,0.03669724770642202,980663215.0,110811.27358767866,7,1.7720338983050847,1058,1334.0,0.1253,0.2176,980.663215
92590,06065,0.4332084893882647,774993147.0,91221.21447018295,6,2.547008547008547,452,8668.0,0.1286,0.7431,774.993147
92591,06065,0.004365287235900122,427198469.0,114609.61119997922,8,1.358649789029536,412,1984.0,0.0891,0.0465,427.198469
92592,06065,0.0289188591642715,2718727994.0,136181.69274061266,9,2.1002785515320332,2314,3079.0,0.0878,0.1239,2718.727994
92595,06065,0.07907446928001798,1395491723.0,107080.15607728162,7,2.4017946161515455,1771,1610.0,0.1532,0.2245,1395.491723
92596,06065,0.009876065065840434,968385502.0,126359.30016025994,8,1.421553090332805,996,1883.0,0.0844,0.1157,968.385502
92602,06059,0.00492845786963434,408107285.0,148626.08669786307,9,1.0551724137931036,254,1785.0,0.0903,0.0613,408.107285
92603,06059,0.007801743919229004,581937405.0,189671.36898793306,10,1.7751937984496124,348,1882.0,0.0733,0.0845,581.937405
92604,06059,0.001989258006763477,65870848.0,133973.51012755756,9,1.0,70,1241.0,0.0666,0.0107,65.870848
92606,06059,0.0008990110878034162,26505869.0,145555.43458567717,9,1.0,26,574.0,0.0705,0.0074,26.505869
92610,06059,0.027275714755175814,454152467.0,175826.30323548682,10,1.8134171907756813,409,1514.0,0.0892,0.1234,454.152467
92612,06059,0.0016068559185859668,51371441.0,102314.7568799826,7,1.2456140350877194,95,638.0,0.084,0.0257,51.371441
92614,06059,0.001791044776119403,33928066.0,125531.15433425002,8,1.0,50,474.0,0.0724,0.0131,33.928066
92617,06059,0.0009569377990430622,6495605.0,80167.0,4,1.0,6,498.0,0.0679,0.0044,6.495605
92618,06059,0.00622938805423232,805113219.0,144469.50248915973,9,1.2377158034528553,658,1305.0,0.104,0.0665,805.113219
92620,06059,0.0034511849068180073,334139815.0,146658.26761037036,9,1.0031446540880504,305,1209.0,0.0854,0.0255,334.139815
92624,06059,0.003085059497576025,67751361.0,111424.36478073962,7,1.0,42,975.0,0.0857,0.0245,67.751361
92625,06059,0.0024043715846994535,138090276.0,205208.48341619904,10,1.0454545454545454,65,1218.0,0.0813,0.0194,138.090276
92626,06059,0.000778642936596218,40865100.0,113114.74443172956,8,1.0,34,554.0,0.0758,0.0048,40.8651
92627,06059,0.0012279983626688497,54034334.0,107889.6233371756,7,1.0,76,491.0,0.0772,0.0086,54.034334
92629,06059,0.003006696733634003,173380406.0,132217.49064193649,9,1.0704225352112675,129,1232.0,0.0816,0.0181,173.380406
92630,06059,0.00385510136257893,391739930.0,124825.32851919357,8,1.011737089201878,412,1091.0,0.0948,0.0271,391.73993
92637,06059,0.00853658536585366,33974073.0,72332.7959012611,3,1.631578947368421,129,499.0,0.0896,0.0166,33.974073
92646,06059,0.001085429702464564,76535209.0,133639.1863467898,9,1.0,98,473.0,0.0841,0.0065,76.535209
92647,06059,0.0009457484309173759,57170692.0,110186.45296785641,7,1.0,60,640.0,0.0711,0.0063,57.170692
92648,06059,0.0009731833910034602,86371094.0,129354.19386220252,9,1.0,83,560.0,0.08,0.0084,86.371094
92649,06059,0.0010421491431218156,74531481.0,124118.34082817948,8,1.0,68,551.0,0.0822,0.008,74.531481
92651,06059,0.06679519165343616,2321327956.0,149945.00343725175,9,1.9438775510204083,1434,4505.0,0.0775,0.2056,2321.327956
92653,06059,0.0037741545893719805,175478884.0,131774.5524298444,9,1.2564102564102564,132,1714.0,0.0903,0.0177,175.478884
92655,06059,0.002150537634408602,22846519.0,71849.69781552262,3,1.0,31,483.0,0.0955,0.027,22.846519
92656,06059,0.009432775751477801,530418186.0,135840.73988648024,9,1.6379310344827587,521,1254.0,0.086,0.0462,530.418186
92657,06059,0.03938248267170762,1155634369.0,211998.22408765406,10,2.140138408304498,506,2850.0,0.0852,0.1672,1155.634369
92660,06059,0.0038240917782026767,278346617.0,148598.33657919228,9,1.0062893081761006,143,1157.0,0.0869,0.0235,278.346617
